steps	mean	median	std	min	max
0	0.01	0.0	0.08	-0.1	0.19
10000	3.5	2.62	2.19	0.14	8.11
20000	-0.14	-0.14	0.01	-0.16	-0.13
30000	-0.16	-0.16	0.01	-0.17	-0.13
40000	-0.35	-0.19	0.4	-1.07	0.19
50000	0.24	-0.07	0.74	-0.1	2.39
60000	0.71	0.61	0.48	0.2	1.92
70000	-0.15	-0.15	0.0	-0.16	-0.14
80000	2.06	-0.07	4.0	-0.1	10.69
90000	-0.47	-0.5	0.13	-0.67	-0.19
100000	-0.13	-0.12	0.0	-0.13	-0.12
110000	-0.14	-0.14	0.01	-0.16	-0.13
120000	1.16	1.1	0.3	0.65	1.79
130000	4.26	4.07	2.37	1.19	8.86
140000	-0.11	-0.11	0.01	-0.12	-0.1
150000	-0.09	-0.09	0.0	-0.09	-0.08
160000	2.54	4.15	2.15	-0.11	4.54
170000	3.52	3.8	1.85	1.27	6.82
180000	-0.15	-0.15	0.01	-0.17	-0.15
190000	5.78	6.38	3.93	0.5	11.46
200000	20.86	17.81	5.83	16.92	36.44
210000	84.52	91.27	13.41	51.02	92.97
220000	90.08	91.16	5.49	74.07	94.48
230000	32.05	30.65	9.37	18.33	54.55
240000	20.28	18.51	11.51	5.86	50.05
250000	18.11	18.91	9.79	4.34	34.27
260000	4.09	4.1	0.23	3.71	4.36
270000	1.88	1.69	0.74	1.39	4.07
280000	3.93	4.56	2.21	0.91	6.81
290000	4.41	4.53	2.53	1.06	7.87
300000	19.62	17.88	12.27	1.52	52.52
310000	74.72	83.0	18.79	36.08	90.92
320000	60.3	75.65	36.36	5.15	95.74
330000	28.29	27.68	9.8	10.78	40.45
340000	47.33	44.72	22.46	23.9	103.86
350000	5.29	5.33	0.48	4.51	6.21
360000	4.44	4.91	2.57	1.36	7.67
370000	11.11	10.91	0.89	9.76	13.06
380000	10.64	9.13	2.93	7.69	16.76
390000	17.22	15.36	7.9	8.87	35.05
400000	7.71	7.83	0.72	6.35	8.51
410000	31.82	14.12	37.09	7.98	106.04
420000	15.46	8.93	14.59	6.44	56.51
430000	10.94	11.17	2.84	6.59	14.02
440000	9.19	8.94	1.77	7.31	13.94
450000	9.03	9.04	0.41	8.44	9.76
460000	47.77	19.16	43.82	8.56	104.48
470000	7.9	7.67	0.89	6.71	9.72
480000	8.6	8.72	0.69	7.6	9.95
490000	9.04	8.32	2.99	7.08	17.84
500000	9.05	8.92	0.37	8.54	9.78
510000	8.91	8.85	0.83	8.17	11.19
520000	9.74	9.55	0.65	8.95	10.73
530000	9.89	9.61	1.52	8.01	13.94
540000	40.22	33.67	26.36	10.3	84.36
550000	31.25	23.87	13.65	18.06	54.66
560000	34.13	25.5	24.16	16.5	103.3
570000	23.91	17.74	13.02	16.57	59.85
580000	47.17	26.95	34.2	17.46	111.25
590000	34.89	21.33	29.71	16.7	109.54
600000	28.14	24.64	9.35	16.51	47.56
610000	41.31	38.02	10.33	25.38	63.07
620000	35.02	29.66	20.64	17.59	88.36
630000	32.17	32.1	9.01	20.45	48.76
640000	59.36	54.1	19.95	34.75	107.59
650000	34.7	26.15	19.84	17.85	81.19
660000	42.78	35.2	24.06	19.69	105.69
670000	60.75	58.23	15.96	37.01	94.63
680000	53.35	51.7	16.89	29.73	88.35
690000	52.48	55.31	16.04	24.72	81.03
700000	42.98	42.77	6.34	33.5	54.89
710000	55.25	48.18	17.07	35.36	98.56
720000	41.54	42.05	12.19	24.64	57.99
730000	47.94	44.32	13.14	31.76	74.94
740000	56.6	49.03	16.5	39.37	96.13
