steps	mean	median	std	min	max
0	-0.1	-0.12	0.04	-0.15	-0.02
10000	-0.25	-0.22	0.4	-1.15	0.43
20000	-0.12	-0.12	0.01	-0.13	-0.11
30000	-0.12	-0.12	0.0	-0.12	-0.11
40000	-0.15	-0.15	0.01	-0.16	-0.12
50000	1.18	-0.03	2.52	-0.6	7.77
60000	4.81	5.58	1.88	1.07	6.64
70000	-0.15	-0.15	0.01	-0.16	-0.14
80000	-0.12	-0.12	0.01	-0.14	-0.12
90000	0.03	0.04	0.08	-0.12	0.16
100000	-0.48	-0.44	0.28	-1.23	-0.1
110000	1.81	0.56	2.49	0.12	7.81
120000	28.85	31.61	8.43	3.57	32.17
130000	67.21	70.73	17.5	33.08	86.04
140000	-0.16	-0.16	0.0	-0.17	-0.16
150000	3.7	1.51	6.25	0.92	22.38
160000	-0.13	-0.13	0.01	-0.14	-0.11
170000	0.46	-0.04	0.81	-0.09	2.34
180000	35.92	32.69	16.45	0.84	61.14
190000	16.04	18.16	11.74	2.13	36.43
200000	9.93	3.58	8.83	1.91	21.78
210000	10.84	3.07	10.9	2.01	33.43
220000	11.07	10.74	5.8	4.43	21.94
230000	9.71	3.42	11.2	1.73	34.91
240000	24.85	25.7	12.52	2.87	43.9
250000	13.42	16.61	6.47	2.36	20.14
260000	6.45	1.23	10.02	0.91	28.44
270000	-0.4	-0.37	0.07	-0.54	-0.3
280000	31.73	22.46	29.07	9.34	104.64
290000	19.7	22.64	6.25	10.5	28.86
300000	-0.14	-0.14	0.01	-0.16	-0.12
310000	0.6	0.59	0.05	0.53	0.72
320000	8.34	0.81	15.36	0.55	46.96
330000	0.64	0.47	0.38	0.35	1.57
340000	25.84	24.23	14.0	6.63	55.15
350000	26.52	32.34	17.37	0.59	56.73
360000	7.5	6.09	4.77	3.26	19.2
370000	20.2	13.51	18.22	2.37	49.03
380000	13.58	0.83	20.47	-0.02	54.88
390000	-0.19	-0.2	0.07	-0.31	-0.05
400000	-0.23	-0.24	0.1	-0.36	-0.04
410000	19.92	0.16	39.58	-0.17	99.2
420000	0.27	-0.1	1.12	-0.28	3.6
430000	-0.04	-0.04	0.05	-0.15	0.04
440000	20.71	0.36	37.52	-0.14	97.05
450000	-0.11	-0.1	0.05	-0.19	0.01
460000	37.72	32.62	33.46	0.24	98.52
470000	18.8	15.21	18.02	0.67	42.38
480000	0.16	0.14	0.07	0.06	0.31
490000	8.52	0.72	14.7	0.46	41.61
500000	17.04	0.46	30.11	0.32	97.67
510000	3.97	0.6	9.9	0.47	33.67
520000	0.36	0.36	0.04	0.27	0.41
530000	0.12	0.11	0.05	0.06	0.21
540000	13.64	0.63	27.18	0.12	83.34
550000	0.28	0.27	0.09	0.11	0.42
560000	0.23	0.23	0.08	0.1	0.34
570000	0.2	0.21	0.06	0.12	0.31
580000	0.1	0.09	0.04	0.05	0.17
590000	0.17	0.16	0.04	0.1	0.24
600000	0.86	0.51	0.95	0.33	3.68
610000	14.55	5.74	16.45	4.08	47.99
620000	46.17	47.8	26.47	3.64	98.02
630000	44.22	35.87	14.47	27.89	73.94
640000	72.83	71.59	17.81	49.02	98.68
650000	88.12	99.56	24.31	28.21	101.03
660000	47.9	44.49	13.61	30.2	71.75
670000	40.21	39.93	13.88	8.15	61.3
680000	91.89	97.48	12.51	59.64	99.11
690000	54.64	47.45	23.6	23.44	94.98
700000	60.34	59.84	14.02	39.19	87.37
710000	89.98	95.6	10.16	69.4	96.93
720000	77.76	95.78	24.31	32.16	97.86
730000	93.73	96.05	6.24	77.37	98.26
740000	87.97	95.11	14.74	55.03	96.38
750000	76.86	88.68	24.65	26.04	97.92
760000	91.81	94.59	9.01	64.9	95.98
770000	85.68	95.46	20.88	35.34	97.12
780000	93.27	94.39	5.57	76.94	96.85
790000	78.77	95.05	24.08	40.99	97.42
800000	87.17	95.09	17.87	39.92	97.69
810000	78.68	93.08	20.77	42.32	98.07
820000	93.14	95.01	5.84	75.88	97.21
830000	83.63	95.33	17.76	43.35	97.2
840000	95.28	95.24	0.98	93.8	97.28
850000	95.52	95.49	0.79	94.22	96.72
860000	80.36	95.43	21.68	36.45	98.2
870000	93.66	94.38	3.43	83.67	96.08
880000	94.86	94.93	0.71	93.66	95.8
890000	95.72	95.56	0.93	94.21	97.2
