steps	mean	median	std	min	max
0	-0.18	-0.19	0.1	-0.32	-0.02
10000	2.26	0.45	4.14	-0.37	13.25
20000	-0.15	-0.15	0.01	-0.17	-0.14
30000	-0.12	-0.12	0.0	-0.12	-0.12
40000	6.97	7.06	5.3	-0.14	16.25
50000	0.23	-0.0	0.49	-0.1	1.24
60000	2.73	2.42	1.02	1.57	4.82
70000	26.36	30.87	12.06	7.09	39.53
80000	-0.02	-0.02	0.02	-0.04	0.01
90000	-0.09	-0.09	0.01	-0.11	-0.07
100000	7.48	7.45	2.13	2.32	10.17
110000	-0.11	-0.11	0.01	-0.12	-0.1
120000	-0.07	-0.08	0.02	-0.11	-0.04
130000	0.13	0.29	0.55	-1.1	0.83
140000	0.05	0.03	0.07	-0.03	0.23
150000	13.29	3.17	16.13	1.78	48.59
160000	-0.14	-0.13	0.01	-0.14	-0.13
170000	-0.11	-0.11	0.0	-0.11	-0.1
180000	2.27	1.22	4.68	-0.09	16.17
190000	0.7	0.69	0.14	0.48	0.94
200000	3.21	3.07	2.9	-0.08	7.43
210000	-0.1	-0.1	0.01	-0.1	-0.08
220000	11.21	13.87	8.25	0.13	22.78
230000	29.66	29.02	15.76	6.47	62.24
240000	64.37	80.18	40.68	5.28	108.22
250000	29.52	26.64	11.65	13.4	43.01
260000	21.17	22.77	11.85	3.94	38.65
270000	13.44	10.1	9.36	3.05	31.11
280000	33.48	33.76	4.32	27.83	41.97
290000	10.86	6.89	8.52	-0.08	27.24
300000	11.72	7.45	10.69	-0.1	34.91
310000	22.4	24.39	4.9	12.96	29.02
320000	20.1	22.08	12.16	1.14	40.98
330000	39.89	33.58	18.63	6.68	68.24
340000	5.5	5.56	0.26	4.99	5.79
350000	5.54	5.47	0.88	4.47	7.79
360000	19.22	11.83	18.13	5.01	62.53
370000	16.74	6.82	30.97	4.24	109.57
380000	19.58	17.97	8.96	8.68	40.0
390000	14.71	12.2	8.64	8.29	38.63
400000	18.22	8.46	29.71	6.98	107.32
410000	9.01	8.91	0.42	8.55	10.0
420000	76.44	106.64	38.8	8.85	107.56
430000	86.27	105.57	28.4	25.22	107.0
440000	82.06	104.87	35.69	22.66	106.19
450000	57.7	56.77	48.01	8.33	109.42
460000	76.81	85.17	31.7	23.49	107.48
470000	57.26	53.14	19.72	21.09	95.46
480000	81.16	83.8	28.58	21.15	110.05
490000	42.37	48.77	15.55	20.85	64.37
500000	53.58	51.55	16.13	18.92	79.29
510000	63.0	62.77	17.48	37.18	92.2
520000	39.99	41.74	10.09	21.44	55.98
530000	49.62	50.14	6.64	35.51	59.84
540000	53.19	53.12	6.85	42.82	68.21
550000	82.45	79.74	15.98	57.44	109.29
560000	54.82	53.86	9.48	39.08	77.31
570000	43.89	44.6	9.78	24.29	57.0
580000	91.36	102.19	17.68	49.81	104.41
590000	56.04	51.99	10.15	48.53	82.8
600000	43.37	44.16	12.39	19.08	57.36
610000	53.07	48.54	13.85	36.51	79.19
